a,b,completion
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,11
0,12,0
0,13,0
0,14,0
0,15,0
0,16,8
0,17,0
0,18,6
0,19,19
0,20,0
0,21,21
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,28
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,56
0,57,0
0,58,58
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,8
0,93,0
0,94,0
0,95,0
0,96,0
0,97,5
0,98,598
0,99,0
1,0,1
1,1,1
1,2,2
1,3,3
1,4,8
1,5,10
1,6,12
1,7,14
1,8,16
1,9,18
1,10,20
1,11,22
1,12,36
1,13,26
1,14,56
1,15,5
1,16,4
1,17,5
1,18,6
1,19,6
1,20,5
1,21,7
1,22,7
1,23,7
1,24,8
1,25,5
1,26,8
1,27,9
1,28,28
1,29,58
1,30,60
1,31,62
1,32,8
1,33,33
1,34,34
1,35,14
1,36,9
1,37,37
1,38,38
1,39,39
1,40,20
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,47
1,48,48
1,49,49
1,50,50
1,51,51
1,52,52
1,53,53
1,54,54
1,55,140
1,56,56
1,57,5
1,58,58
1,59,523
1,60,120
1,61,5
1,62,125
1,63,126
1,64,128
1,65,14
1,66,133
1,67,133
1,68,28
1,69,5
1,70,2870
1,71,5
1,72,28
1,73,5
1,74,5
1,75,4
1,76,576
1,77,5
1,78,578
1,79,5
1,80,1680
1,81,581
1,82,582
1,83,5
1,84,784
1,85,585
1,86,576
1,87,5
1,88,744
1,89,5
1,90,990
1,91,591
1,92,592
1,93,5
1,94,594
1,95,5
1,96,128
1,97,597
1,98,598
1,99,99
2,0,0
2,1,2
2,2,2
2,3,6
2,4,8
2,5,10
2,6,12
2,7,14
2,8,16
2,9,18
2,10,20
2,11,22
2,12,24
2,13,32
2,14,56
2,15,40
2,16,32
2,17,42
2,18,48
2,19,57
2,20,40
2,21,56
2,22,44
2,23,46
2,24,64
2,25,50
2,26,52
2,27,81
2,28,56
2,29,69
2,30,60
2,31,62
2,32,64
2,33,66
2,34,68
2,35,70
2,36,96
2,37,127
2,38,100
2,39,99
2,40,80
2,41,41
2,42,140
2,43,127
2,44,112
2,45,90
2,46,122
2,47,127
2,48,96
2,49,98
2,50,100
2,51,101
2,52,104
2,53,133
2,54,126
2,55,140
2,56,128
2,57,133
2,58,118
2,59,523
2,60,120
2,61,138
2,62,152
2,63,168
2,64,128
2,65,210
2,66,166
2,67,167
2,68,136
2,69,522
2,70,2870
2,71,2
2,72,168
2,73,573
2,74,522
2,75,225
2,76,152
2,77,498
2,78,522
2,79,522
2,80,320
2,81,582
2,82,582
2,83,166
2,84,584
2,85,585
2,86,576
2,87,588
2,88,176
2,89,522
2,90,180
2,91,591
2,92,592
2,93,592
2,94,594
2,95,595
2,96,128
2,97,498
2,98,598
2,99,99
3,0,0
3,1,3
3,2,6
3,3,3
3,4,12
3,5,10
3,6,18
3,7,21
3,8,16
3,9,27
3,10,30
3,11,33
3,12,36
3,13,39
3,14,42
3,15,45
3,16,64
3,17,42
3,18,54
3,19,57
3,20,40
3,21,63
3,22,66
3,23,46
3,24,48
3,25,50
3,26,78
3,27,81
3,28,56
3,29,93
3,30,60
3,31,93
3,32,64
3,33,111
3,34,102
3,35,105
3,36,72
3,37,127
3,38,128
3,39,123
3,40,80
3,41,121
3,42,126
3,43,127
3,44,112
3,45,135
3,46,126
3,47,147
3,48,96
3,49,141
3,50,100
3,51,141
3,52,152
3,53,138
3,54,126
3,55,140
3,56,140
3,57,147
3,58,118
3,59,523
3,60,120
3,61,138
3,62,156
3,63,168
3,64,128
3,65,210
3,66,166
3,67,167
3,68,204
3,69,204
3,70,2870
3,71,2870
3,72,168
3,73,573
3,74,498
3,75,225
3,76,476
3,77,498
3,78,578
3,79,592
3,80,240
3,81,582
3,82,582
3,83,583
3,84,584
3,85,585
3,86,576
3,87,587
3,88,176
3,89,589
3,90,180
3,91,591
3,92,592
3,93,593
3,94,594
3,95,595
3,96,384
3,97,498
3,98,598
3,99,198
4,0,0
4,1,4
4,2,8
4,3,12
4,4,16
4,5,10
4,6,12
4,7,28
4,8,32
4,9,24
4,10,20
4,11,28
4,12,48
4,13,40
4,14,56
4,15,40
4,16,64
4,17,56
4,18,48
4,19,57
4,20,80
4,21,56
4,22,88
4,23,46
4,24,64
4,25,100
4,26,104
4,27,81
4,28,56
4,29,121
4,30,120
4,31,121
4,32,64
4,33,121
4,34,124
4,35,140
4,36,96
4,37,127
4,38,152
4,39,121
4,40,80
4,41,121
4,42,140
4,43,143
4,44,112
4,45,135
4,46,136
4,47,141
4,48,128
4,49,141
4,50,100
4,51,121
4,52,136
4,53,182
4,54,168
4,55,140
4,56,128
4,57,456
4,58,118
4,59,523
4,60,120
4,61,498
4,62,462
4,63,498
4,64,128
4,65,495
4,66,166
4,67,439
4,68,468
4,69,498
4,70,2870
4,71,2870
4,72,576
4,73,498
4,74,498
4,75,495
4,76,476
4,77,498
4,78,576
4,79,522
4,80,320
4,81,498
4,82,582
4,83,583
4,84,576
4,85,585
4,86,576
4,87,498
4,88,588
4,89,592
4,90,592
4,91,498
4,92,592
4,93,498
4,94,594
4,95,595
4,96,576
4,97,498
4,98,598
4,99,498
5,0,0
5,1,5
5,2,10
5,3,15
5,4,16
5,5,25
5,6,30
5,7,28
5,8,40
5,9,45
5,10,50
5,11,55
5,12,60
5,13,52
5,14,56
5,15,55
5,16,64
5,17,56
5,18,45
5,19,57
5,20,100
5,21,105
5,22,110
5,23,46
5,24,96
5,25,100
5,26,104
5,27,81
5,28,56
5,29,139
5,30,120
5,31,125
5,32,128
5,33,133
5,34,126
5,35,140
5,36,144
5,37,173
5,38,152
5,39,156
5,40,140
5,41,121
5,42,168
5,43,173
5,44,164
5,45,135
5,46,166
5,47,188
5,48,144
5,49,196
5,50,100
5,51,201
5,52,208
5,53,182
5,54,210
5,55,5
5,56,280
5,57,498
5,58,522
5,59,523
5,60,240
5,61,522
5,62,522
5,63,598
5,64,256
5,65,565
5,66,522
5,67,498
5,68,498
5,69,522
5,70,2870
5,71,522
5,72,572
5,73,2
5,74,498
5,75,495
5,76,476
5,77,498
5,78,578
5,79,598
5,80,320
5,81,582
5,82,582
5,83,583
5,84,584
5,85,585
5,86,586
5,87,587
5,88,588
5,89,589
5,90,590
5,91,591
5,92,592
5,93,593
5,94,594
5,95,595
5,96,596
5,97,597
5,98,598
5,99,599
6,0,0
6,1,6
6,2,12
6,3,18
6,4,16
6,5,15
6,6,36
6,7,42
6,8,64
6,9,36
6,10,60
6,11,66
6,12,60
6,13,52
6,14,56
6,15,60
6,16,64
6,17,51
6,18,72
6,19,57
6,20,60
